C1ABC,DYAG=0.00,DYAG=0.25,DYAG=0.50,DYAG=0.75,DYAG=1.00,DYAG=1.35
0.0,0.68,0.65,0.6,0.55,0.5,0.5
0.2,1.18,1.11,1.07,0.99,0.91,0.91
0.4,1.37,1.29,1.23,1.15,1.08,1.08
0.6,1.43,1.36,1.29,1.23,1.17,1.17
0.8,1.44,1.37,1.3,1.25,1.2,1.2
1.0,1.37,1.31,1.25,1.21,1.17,1.17
1.2,1.24,1.2,1.16,1.14,1.13,1.11
1.4,1.17,1.13,1.1,1.09,1.07,1.06
1.6,1.10,1.07,1.05,1.04,1.03,1.01
1.8,1.06,1.03,1.01,0.99,0.98,0.96
2.0,1.02,0.99,0.97,0.95,0.94,0.91
2.2,0.99,0.96,0.94,0.92,0.9,0.88
2.4,0.96,0.94,0.92,0.9,0.88,0.85
2.6,0.94,0.92,0.9,0.88,0.86,0.83
2.8,0.92,0.9,0.88,0.86,0.84,0.82
3.0,0.91,0.89,0.87,0.85,0.83,0.81
3.2,0.9,0.88,0.86,0.84,0.82,0.8
3.4,0.89,0.87,0.85,0.83,0.82,0.8
3.6,0.88,0.86,0.84,0.83,0.82,0.8
