AMACH,DYA=2.00,DYA=2.25,DYA=2.50,DYA=3.00,DYA=4.00,DYA=4.50
0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-0.02,-0.13,-0.185,-0.21,-0.24,-0.24
0.4,-0.02,-0.19,-0.32,-0.36,-0.42,-0.455
0.5,0.0,-0.2,-0.4,-0.45,-0.545,-0.605
0.6,0.0,-0.19,-0.445,-0.5,-0.64,-0.72
