y_m,Vz_N,Mx_Nm,Vx_N,Mz_Nm,Ty_Nm
0.0,22434.431214663033,93578.67152077463,-1562.413611657386,-6213.633049805494,3810.249323044246
0.049218666666666674,22418.156770738253,92474.8792321792,-1561.1578362888013,-6136.764038852505,3807.00990890956
0.24487000000000006,22289.89249332326,88095.06563169604,-1551.207474892342,-5831.809761517119,3781.629402128479
0.6313766666666665,21790.320319206232,79553.1104334462,-1512.4419504433522,-5237.9494683129105,3683.796028879712
1.199,20712.868509786764,67442.90908000917,-1429.1221513939615,-4399.491655027448,3476.605697745459
1.9344999999999999,18903.566250673986,52801.43098067798,-1290.2888550515559,-3394.132397622587,3137.554572091798
2.8186666666666667,16285.500105707717,37153.88683974165,-1091.9621932987222,-2334.736935719851,2663.0023348325867
3.8306333333333336,12867.406937164074,22308.94324781411,-838.297132737546,-1352.739312478639,2068.324003036556
4.945033333333332,8774.436591306981,10180.913891113387,-545.3076655225046,-580.639885832198,1388.138303811957
6.134633333333334,4284.519334060642,2420.471190731306,-244.94009930955355,-119.28776433302839,673.6682982216096
7.3700333333333345,0.0,0.0,0.0,0.0,0.0
