cf/c,dCdp
0.08380829015544042,0.03975745287977772
0.08795336787564766,0.0457358478421781
0.09326424870466321,0.053156277153799114
0.09740932642487045,0.05892763277872537
0.10505181347150257,0.06881805211383951
0.11424870466321242,0.08242552483935678
0.12331606217616578,0.09520564477198853
0.12953367875647664,0.10427675688432617
0.1376943005181347,0.11623435136613786
0.14715025906735746,0.13066837232752979
0.15362694300518132,0.14035899333826796
0.1615284974093264,0.1535604329589461
0.1685233160621761,0.16511118977890774
0.17487046632124345,0.17625189070897568
0.18173575129533673,0.18801049142342227
0.1896373056994818,0.20204008839399695
0.19572538860103622,0.21318239843808665
0.20116580310880827,0.22225833789248975
0.20647668393782379,0.2323702785912743
0.21126943005181345,0.24124320149325784
