beta_A = 4,0.2,0.3,0.4,0.5,0.6
0,0.23,0.23,0.23,0.23,0.23
10,0.23,0.225,0.225,0.22,0.22
20,0.26,0.25,0.245,0.235,0.23
30,0.3,0.285,0.27,0.26,0.245
40,0.35,0.325,0.3,0.28,0.26
50,0.4,0.37,0.335,0.3,0.27
