cf/c,dCdp
0.09443005181347151,0.0071863032214462
0.1,0.00715170726997727
0.10660621761658022,0.00835291088726553
0.11347150259067355,0.00975954472800622
0.12072538860103625,0.010956725560239966
0.12810880829015542,0.012360141172936878
0.13678756476683937,0.014169589890472956
0.14404145077720207,0.015366770722706757
0.15155440414507768,0.016769381778392822
0.16062176165803108,0.01919753483731851
0.16891191709844558,0.020802357888413336
0.17668393782383418,0.02241039916755172
0.18393782383419688,0.02422869801220784
0.1898963730569948,0.025433924414550724
0.19598445595854921,0.027052424934830954
0.20103626943005182,0.028470322573724227
