df(cf/c=0.1)      , dCdp(cf/c=0.1)       , df(cf/c=0.2)      , dCdp(cf/c=0.2)      , df(cf/c=0.3)      , dCdp(cf/c=0.3)       , df(cf/c=0.4)      , dCdp(cf/c=0.4)
10.008536975776332, 0.0016457392191038672,  9.95384697470921 , 0.002777125647683787, 10.02240956141287 , 0.0047408672144559905, 10.036282147049404, 0.007835995209808072
14.91196243730659 , 0.0023211088582980877, 14.92210009604098 , 0.004582933162593852, 14.879681997652332, 0.008452317433215992 , 11.47849749226337 , 0.009610263341988931
19.936773023156547, 0.0034121817901564405, 19.894888485753917, 0.007400609445215173, 16.080460996691926, 0.009692787441160117 , 14.489648916871195, 0.014764936743380905
23.527905239568888, 0.004633680740819837 , 22.773716785828633, 0.00969919017299238 , 19.925301461957112, 0.014186082358102467 , 16.783160815281192, 0.019806258077520483
24.965051755415644, 0.005277036720852807 , 24.994130829153768, 0.011764901172648515, 23.236847721694595, 0.019695514530644234 , 18.718386511578274, 0.024909946762470533
29.99706541457691 , 0.00797519534260549  , 27.517073951552668, 0.014661544481200925, 25.044552342332757, 0.023014501001909007 , 19.868743997438912, 0.028234150274487488
32.21587877494399 , 0.00968377618895179  , 29.98159214598231 , 0.017856270527276896, 25.949204994130824, 0.024852559314196304 , 21.990182477857218, 0.03488398012781754
35.09577419699072 , 0.012220443685602198 , 31.425141393661328, 0.01992814712054926 , 28.242983673033827, 0.029953402340554228 , 20.474335716572405, 0.03001505827671662
37.497065414576916, 0.014641862009272144 , 34.19592359406682 , 0.02478710916657778 , 30.41644434958917 , 0.03487662884312126  , 23.44680396969374 , 0.03987241963978709
40.02160921993385 , 0.01789563547113443  , 35.04001707395157 , 0.02644707667864217 , 32.171593213104266, 0.03980317528071241  , 24.90315868103724 , 0.04480133745953834
41.6439013979298  , 0.019847045850674094 , 36.72900437520011 , 0.029945576779425956, 33.747465585316405, 0.044731144547599605 , 26.240262512005117, 0.04979072552437193
45.01280546366451 , 0.024820308516819087 , 38.72345534094548 , 0.03492974780350731 , 34.95784868210434 , 0.04811439547540289  , 27.63739195390032 , 0.054839161004991796
                  ,                      , 39.93170419378938 , 0.037836825193564086, 35.503414790310565, 0.04983625606184568  , 28.974495784868218, 0.05982854906982536
                  ,                      , 40.71817308718386 , 0.03997344051980703 , 36.960036282147044, 0.054824695573815245 , 30.3710916657774  , 0.06475794116600864
                  ,                      , 42.41329633977166 , 0.04484093954161188 , 38.53590865435922 , 0.05975266484070242  , 31.828513499092956, 0.06992494575463311
                  ,                      , 43.80962544018784 , 0.049710809945576855, 40.052022196137045, 0.06468110838402166  , 33.04476576672714 , 0.0746176739112392
                  ,                      , 44.720147262832164, 0.05285834548666698 , 41.50944402945259 , 0.06984811297264615  , 34.56194643047699 , 0.07978420422343167
                  ,                      , 45.3270728844307  , 0.054936861949987606, 42.725963077579785, 0.07460036282147053  , 35.958008750400175, 0.08459455293517831
                  ,                      , 46.544392274036944, 0.0598676768754669  , 44.06360046953368 , 0.07970879427074075  , 37.294845800875045, 0.08952441930779359
                  ,                      ,                   ,                     , 45.63973962223886 , 0.08469628522984626  , 38.75120051221853 , 0.09445333712754483
                  ,                      ,                   ,                     , 44.85140326539326 , 0.0821430180580752   ,                   ,  
                  ,                      ,                   ,                     , 46.97577633123467 , 0.08944758652580662  ,                   ,  
