beta_A = 8,0.2,0.3,0.4,0.5,0.6
0,0.245,0.245,0.245,0.245,0.245
10,0.26,0.255,0.245,0.235,0.23
20,0.3,0.285,0.265,0.25,0.235
30,0.35,0.325,0.3,0.275,0.25
40,0.415,0.38,0.345,0.31,0.28
50,0.49,0.445,0.4,0.365,0.33
