beta_A = 2,0.2,0.3,0.4,0.5,0.6
0,0.21,0.21,0.21,0.21,0.21
10,0.21,0.21,0.205,0.205,0.2
20,0.24,0.235,0.225,0.22,0.215
30,0.275,0.26,0.25,0.235,0.225
40,0.31,0.29,0.27,0.25,0.235
50,0.34,0.32,0.29,0.265,0.245
