mass [kg],rivet spacing [mm],stringer type,skin thickness [mm],stringer thickness [mm],stringer cross-section area [mm2],frame cross-section area [mm2],stringer pitch [mm],frame pitch [mm],stringer/frame material,skin material,stress margin [%]
38.59519017184877,38.695814942711706,j,0.3,1.2953999999999999,70.0,70.0,200.0,450.0,AA2024-T3,AA2024-T3,5220.6281688296185
38.59519017184877,38.695814942711706,z,0.3,1.2953999999999999,70.0,70.0,200.0,450.0,AA2024-T3,AA2024-T3,5220.6281688296185
38.59519017184877,38.695814942711706,formed z,0.3,1.2953999999999999,70.0,70.0,200.0,450.0,AA2024-T3,AA2024-T3,5220.6281688296185
43.32984343343702,55.37985907757742,j,0.39999999999999997,1.2953999999999999,70.0,70.0,200.0,450.0,AA2024-T3,AA2024-T3,5875.155580425886
43.32984343343702,55.37985907757742,z,0.39999999999999997,1.2953999999999999,70.0,70.0,200.0,450.0,AA2024-T3,AA2024-T3,5875.155580425886
43.32984343343702,55.37985907757742,formed z,0.39999999999999997,1.2953999999999999,70.0,70.0,200.0,450.0,AA2024-T3,AA2024-T3,5875.155580425886
