mass [kg]        , skin thickness [mm], stringer thickness [mm], stringer cross-section area [mm2], frame cross-section area [mm2], stringer pitch [mm], frame pitch [mm]  , stringer/frame material, skin material, stress margin [%]
37.32850946115614,                 0.5,      2.8               ,                29.999999999999996,              59.99999999999999,  199.99999999999994, 450.0000000000001 , AA2024-T3              , AA2024-T3    , 4185.589177890527
37.32850946115614,                 0.5,      2.1999999999999997,                29.999999999999996,              59.99999999999999,  199.99999999999994, 500.0000000000002 , AA2024-T3              , AA2024-T3    , 4185.589177890527
37.32850946115614,                 0.5,      0.8               ,                29.999999999999996,              59.99999999999999,  199.99999999999994, 480.00000000000017, AA2024-T3              , AA2024-T3    , 4185.589177890527
37.32850946115614,                 0.5,      0.8               ,                29.999999999999996,              59.99999999999999,  199.99999999999994, 470.0000000000001 , AA2024-T3              , AA2024-T3    , 4185.589177890527
37.32850946115614,                 0.5,      0.8               ,                29.999999999999996,              59.99999999999999,  199.99999999999994, 450.0000000000001 , AA2024-T3              , AA2024-T3    , 4185.589177890527
37.32850946115614,                 0.5,      0.8               ,                29.999999999999996,              59.99999999999999,  199.99999999999994, 460.0000000000001 , AA2024-T3              , AA2024-T3    , 4185.589177890527
37.32850946115614,                 0.5,      3.4               ,                29.999999999999996,              59.99999999999999,  199.99999999999994, 460.0000000000001 , AA2024-T3              , AA2024-T3    , 4185.589177890527
37.32850946115614,                 0.5,      3.4               ,                29.999999999999996,              59.99999999999999,  199.99999999999994, 450.0000000000001 , AA2024-T3              , AA2024-T3    , 4185.589177890527
37.32850946115614,                 0.5,      0.8               ,                29.999999999999996,              59.99999999999999,  199.99999999999994, 490.00000000000017, AA2024-T3              , AA2024-T3    , 4185.589177890527
37.32850946115614,                 0.5,      0.8               ,                29.999999999999996,              59.99999999999999,  199.99999999999994, 500.0000000000002 , AA2024-T3              , AA2024-T3    , 4185.589177890527
