mass [kg],rivet spacing [mm],stringer type,skin thickness [mm],stringer thickness [mm],stringer cross-section area [mm2],frame cross-section area [mm2],stringer pitch [mm],frame pitch [mm],stringer/frame material,skin material,stress margin [%]
17.455208154577825,55.368132599162465,z,0.3,0.9000000000000001,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,z,0.3,0.9000000000000001,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,z,0.3,0.9000000000000001,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,j,0.3,0.9000000000000001,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,formed z,0.3,0.8,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,formed z,0.3,0.9000000000000001,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111615
17.455208154577825,55.368132599162465,formed z,0.3,0.9000000000000001,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111615
17.455208154577825,55.368132599162465,formed z,0.3,0.8,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,j,0.3,0.9000000000000001,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,formed z,0.3,0.8,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,j,0.3,0.9000000000000001,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,formed z,0.3,0.9000000000000001,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111615
17.455208154577825,55.368132599162465,j,0.3,0.8,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111615
17.455208154577825,55.368132599162465,z,0.3,0.8,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,z,0.3,0.8,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,z,0.3,0.8,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,55.368132599162465,j,0.3,0.8,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111615
17.455208154577825,55.368132599162465,j,0.3,0.8,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111615
17.627863529577823,55.6673647385671,z,0.3,0.9000000000000001,10.0,20.0,260.0,749.9999999999999,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,55.6673647385671,z,0.3,0.8,10.0,20.0,260.0,749.9999999999999,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,55.6673647385671,z,0.3,0.8,10.0,20.0,260.0,700.0,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,55.6673647385671,formed z,0.3,0.9000000000000001,10.0,20.0,260.0,700.0,AA2024-T3,AA2024-T3,942.0176017284228
17.627863529577823,55.6673647385671,formed z,0.3,0.9000000000000001,10.0,20.0,260.0,649.9999999999999,AA2024-T3,AA2024-T3,942.0176017284228
17.627863529577823,55.6673647385671,formed z,0.3,0.8,10.0,20.0,260.0,649.9999999999999,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,55.6673647385671,formed z,0.3,0.8,10.0,20.0,260.0,749.9999999999999,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,55.6673647385671,formed z,0.3,0.8,10.0,20.0,260.0,700.0,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,55.6673647385671,z,0.3,0.8,10.0,20.0,260.0,649.9999999999999,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,55.6673647385671,formed z,0.3,0.9000000000000001,10.0,20.0,260.0,749.9999999999999,AA2024-T3,AA2024-T3,942.0176017284228
17.627863529577823,55.6673647385671,z,0.3,0.9000000000000001,10.0,20.0,260.0,700.0,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,55.6673647385671,j,0.3,0.8,10.0,20.0,260.0,700.0,AA2024-T3,AA2024-T3,942.0176017284228
17.627863529577823,55.6673647385671,j,0.3,0.8,10.0,20.0,260.0,749.9999999999999,AA2024-T3,AA2024-T3,942.0176017284228
17.627863529577823,55.6673647385671,j,0.3,0.8,10.0,20.0,260.0,649.9999999999999,AA2024-T3,AA2024-T3,942.0176017284228
17.627863529577823,55.6673647385671,j,0.3,0.9000000000000001,10.0,20.0,260.0,700.0,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,55.6673647385671,j,0.3,0.9000000000000001,10.0,20.0,260.0,649.9999999999999,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,55.6673647385671,z,0.3,0.9000000000000001,10.0,20.0,260.0,649.9999999999999,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,55.6673647385671,j,0.3,0.9000000000000001,10.0,20.0,260.0,749.9999999999999,AA2024-T3,AA2024-T3,942.0176017284231
17.714191217077822,55.816379241632795,z,0.3,0.8,10.0,20.0,240.00000000000003,749.9999999999999,AA2024-T3,AA2024-T3,1031.1028683215388
17.714191217077822,55.816379241632795,j,0.3,0.9000000000000001,10.0,20.0,240.00000000000003,649.9999999999999,AA2024-T3,AA2024-T3,1031.1028683215388
17.714191217077822,55.816379241632795,z,0.3,0.8,10.0,20.0,240.00000000000003,700.0,AA2024-T3,AA2024-T3,1031.1028683215388
17.714191217077822,55.816379241632795,z,0.3,0.8,10.0,20.0,240.00000000000003,649.9999999999999,AA2024-T3,AA2024-T3,1031.1028683215388
17.714191217077822,55.816379241632795,formed z,0.3,0.9000000000000001,10.0,20.0,240.00000000000003,700.0,AA2024-T3,AA2024-T3,1031.1028683215386
17.714191217077822,55.816379241632795,z,0.3,0.9000000000000001,10.0,20.0,240.00000000000003,749.9999999999999,AA2024-T3,AA2024-T3,1031.1028683215388
