mass [kg],skin thickness [mm],stringer thickness [mm],stringer cross-section area [mm2],frame cross-section area [mm2],stringer pitch [mm],frame pitch [mm],stringer/frame material,skin material,stress margin [%]
37.32850946115614,0.5,0.8,29.999999999999996,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,4185.589177890525
38.24332623304397,0.5,0.8,29.999999999999996,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,4185.589177890525
39.74568471115614,0.5,0.8,40.0,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,4841.4925403066045
40.66050148304397,0.5,0.8,40.0,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,4841.4925403066045
40.98777654870749,0.5,0.8,29.999999999999996,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,4185.589177890525
42.06316272274439,0.6000000000000001,0.8,29.999999999999996,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,5469.527720593516
42.97797949463222,0.6000000000000001,0.8,29.999999999999996,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,5469.527720593516
43.404951798707486,0.5,0.8,40.0,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,4841.4925403066045
44.321052148656136,0.5,0.8,29.999999999999996,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,710519.721463318
44.48033797274439,0.6000000000000001,0.8,40.0,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,6125.849387977426
45.23586892054397,0.5,0.8,29.999999999999996,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,710519.721463318
45.39515474463222,0.6000000000000001,0.8,40.0,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,6125.849387977426
45.72242981029574,0.6000000000000001,0.8,29.999999999999996,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,5469.527720593516
46.797815984332644,0.7000000000000001,0.8,29.999999999999996,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,7186.438893836532
47.71263275622048,0.7000000000000001,0.8,29.999999999999996,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,7186.438893836532
47.980319236207485,0.5,0.8,29.999999999999996,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,710519.721463318
48.13960506029574,0.6000000000000001,0.8,40.0,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,6125.849387977426
49.055705410244386,0.6000000000000001,0.8,29.999999999999996,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,616694.9464961055
49.06907496115613,0.5,0.8,40.0,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,711954.6991748649
49.21499123433264,0.7000000000000001,0.8,40.0,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,7843.5364970714645
49.97052218213222,0.6000000000000001,0.8,29.999999999999996,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,616694.9464961055
49.98389173304397,0.5,0.8,40.0,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,711954.6991748649
50.12980800622048,0.7000000000000001,0.8,40.0,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,7843.5364970714645
50.457083071884,0.7000000000000001,0.8,29.999999999999996,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,7186.438893836532
51.5324692459209,0.8000000000000002,0.8,29.999999999999996,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,9455.042529566637
52.447286017808736,0.8000000000000002,0.8,29.999999999999996,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,9455.042529566637
52.71497249779574,0.6000000000000001,0.8,29.999999999999996,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,616694.9464961055
52.72834204870748,0.5,0.8,40.0,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,711954.6991748649
52.874258321884,0.7000000000000001,0.8,40.0,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,7843.5364970714645
53.79035867183264,0.7000000000000001,0.8,29.999999999999996,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,21423.040106242108
53.80372822274438,0.6000000000000001,0.8,40.0,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,618106.563438718
53.9496444959209,0.8000000000000002,0.8,40.0,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,10113.287158735313
54.70517544372048,0.7000000000000001,0.8,29.999999999999996,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,21423.040106242108
54.71854499463222,0.6000000000000001,0.8,40.0,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,618106.563438718
54.864461267808736,0.8000000000000002,0.8,40.0,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,10113.287158735313
55.19173633347226,0.8000000000000002,0.8,29.999999999999996,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,9455.042529566637
56.26712250750916,0.9000000000000002,0.8,29.999999999999996,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,12441.98978878263
57.18193927939699,0.9000000000000002,0.8,29.999999999999996,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,12441.98978878263
57.449625759384,0.7000000000000001,0.8,29.999999999999996,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,21423.040106242108
57.46299531029574,0.6000000000000001,0.8,40.0,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,618106.563438718
57.608911583472256,0.8000000000000002,0.8,40.0,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,10113.287158735313
58.5250119334209,0.8000000000000002,0.8,29.999999999999996,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,40018.5450082125
58.53838148433264,0.7000000000000001,0.8,40.0,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,22722.38535278612
58.68429775750916,0.9000000000000002,0.8,40.0,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,13101.8017696384
59.439828705308734,0.8000000000000002,0.8,29.999999999999996,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,40018.5450082125
59.453198256220475,0.7000000000000001,0.8,40.0,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,22722.38535278612
59.59911452939699,0.9000000000000002,0.8,40.0,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,13101.8017696384
59.92638959506051,0.9000000000000002,0.8,29.999999999999996,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,12441.98978878263
61.001775769097414,1.0000000000000002,0.8,29.999999999999996,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,1417695.7715675414
61.91659254098525,1.0000000000000002,0.8,29.999999999999996,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,1417695.7715675414
62.184279020972255,0.8000000000000002,0.8,29.999999999999996,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,40018.5450082125
62.197648571883995,0.7000000000000001,0.8,40.0,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,22722.38535278612
62.34356484506051,0.9000000000000002,0.8,40.0,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,13101.8017696384
63.259665195009156,0.9000000000000002,0.8,29.999999999999996,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,138668.3960367533
63.273034745920896,0.8000000000000002,0.8,40.0,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,41320.77572095933
63.41895101909741,1.0000000000000002,0.8,40.0,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,1419423.8376092236
64.17448196689699,0.9000000000000002,0.8,29.999999999999996,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,138668.3960367533
64.18785151780872,0.8000000000000002,0.8,40.0,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,41320.77572095933
64.33376779098525,1.0000000000000002,0.8,40.0,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,1419423.8376092236
64.66104285664878,1.0000000000000002,0.8,29.999999999999996,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,1417695.7715675414
65.73642903068567,1.1000000000000003,0.8,29.999999999999996,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,1417057.6696464631
66.65124580257351,1.1000000000000003,0.8,29.999999999999996,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,1417057.6696464631
66.91893228256052,0.9000000000000002,0.8,29.999999999999996,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,138668.3960367533
66.93230183347225,0.8000000000000002,0.8,40.0,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,41320.77572095933
67.07821810664878,1.0000000000000002,0.8,40.0,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,1419423.8376092236
67.99431845659741,1.0000000000000002,0.8,29.999999999999996,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,197952.23513646738
68.00768800750916,0.9000000000000002,0.8,40.0,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,139986.26330057575
68.15360428068567,1.1000000000000003,0.8,40.0,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,1418714.2987294004
68.90913522848524,1.0000000000000002,0.8,29.999999999999996,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,197952.23513646738
68.92250477939699,0.9000000000000002,0.8,40.0,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,139986.26330057575
69.06842105257351,1.1000000000000003,0.8,40.0,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,1418714.2987294004
69.39569611823703,1.1000000000000003,0.8,29.999999999999996,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,1417057.6696464631
70.47108229227393,1.2000000000000004,0.8,29.999999999999996,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,1229376.0169427572
71.38589906416178,1.2000000000000004,0.8,29.999999999999996,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,1229376.0169427572
71.65358554414877,1.0000000000000002,0.8,29.999999999999996,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,197952.23513646738
71.6669550950605,0.9000000000000002,0.8,40.0,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,139986.26330057575
71.81287136823703,1.1000000000000003,0.8,40.0,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,1418714.2987294004
72.72897171818568,1.1000000000000003,0.8,29.999999999999996,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,220126.02549098132
72.74234126909741,1.0000000000000002,0.8,40.0,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,199278.13951545587
72.88825754227393,1.2000000000000004,0.8,40.0,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,1230844.9935800068
73.6437884900735,1.1000000000000003,0.8,29.999999999999996,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,220126.02549098132
73.65715804098525,1.0000000000000002,0.8,40.0,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,199278.13951545587
73.80307431416178,1.2000000000000004,0.8,40.0,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,1230844.9935800068
74.13034937982529,1.2000000000000004,0.8,29.999999999999996,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,1229376.0169427572
75.20573555386218,1.3000000000000003,0.8,29.999999999999996,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,725933.9727634122
76.12055232575003,1.3000000000000003,0.8,29.999999999999996,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,725933.9727634122
76.38823880573702,1.1000000000000003,0.8,29.999999999999996,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,220126.02549098132
76.40160835664877,1.0000000000000002,0.8,40.0,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,199278.13951545587
76.54752462982529,1.2000000000000004,0.8,40.0,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,1230844.9935800068
77.46362497977393,1.2000000000000004,0.8,29.999999999999996,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,241232.78730382782
77.47699453068566,1.1000000000000003,0.8,40.0,59.99999999999999,100.0,500.0,AA2024-T3,AA2024-T3,221453.70635196395
77.62291080386218,1.3000000000000003,0.8,40.0,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,727038.7565036921
78.37844175166177,1.2000000000000004,0.8,29.999999999999996,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,241232.78730382782
78.3918113025735,1.1000000000000003,0.8,40.0,59.99999999999999,100.0,400.0,AA2024-T3,AA2024-T3,221453.70635196395
78.53772757575003,1.3000000000000003,0.8,40.0,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,727038.7565036921
78.86500264141354,1.3000000000000003,0.8,29.999999999999996,59.99999999999999,200.0,300.0,AA2024-T3,AA2024-T3,725933.9727634122
79.94038881545045,1.4000000000000004,0.8,29.999999999999996,59.99999999999999,200.0,500.0,AA2024-T3,AA2024-T3,37161.73738691415
80.85520558733829,1.4000000000000004,0.8,29.999999999999996,59.99999999999999,200.0,400.0,AA2024-T3,AA2024-T3,37161.73738691415
81.12289206732528,1.2000000000000004,0.8,29.999999999999996,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,241232.78730382782
81.13626161823703,1.1000000000000003,0.8,40.0,59.99999999999999,100.0,300.0,AA2024-T3,AA2024-T3,221453.70635196395
